,Respondent,Why didn't get booster,why_not_booster_1,why_not_booster_2,why_not_booster_3,Why public health scientists reliable or unreliable,why_scientists_reliable_unreliable_1,why_scientists_reliable_unreliable_2,why_scientists_reliable_unreliable_3,Why CDC changed recommended isolation period,why_isolation_change_1,why_isolation_change_2,why_isolation_change_3
456,1724574853,__NA__,0.0,0.0,0.0,They present peer reviewed scientific data. Unreliable science can be quickly debunked.,4,0.0,0.0,Combination of the public's Covid fatigue and finer tuned data,8,1.0,0.0
457,1724578605,__NA__,0.0,0.0,0.0,Every month they change guidelines.,13,0.0,0.0,Afraid of being lynched for lying to us.,8,14.0,15.0
458,1724599339,__NA__,0.0,0.0,0.0,onsider the information from pu,99,0.0,0.0,CDC changed the recommended,99,0.0,0.0
472,1724604089,__NA__,0.0,0.0,0.0,Politics plays a role here and the information has been inconsistent.,20,13.0,0.0,Too many people violating or ignoring the ten day requirement.,9,0.0,0.0
462,1724604101,"I regret getting the initial ""vaccine"". Does not prevent illness, does not prevent spread.",6.0,0.0,0.0,They continuously change their guidance. They are invested in pharma companies who are profiting from COViD. They previously worked at pharma companies,13,20.0,0.0,Political pressure,6,8.0,0.0
461,1724611041,Because I was waiting for the ok to go get booster....,21.0,0.0,0.0,They try to find the right antidote..,98,0.0,0.0,Because COVID-19 is mutating antibodies...,2,0.0,0.0
460,1724620651,__NA__,0.0,0.0,0.0,Because there is way to many controversies,98,0.0,0.0,To pay people less money for being home from work sick,5,0.0,0.0
464,1724641171,__NA__,0.0,0.0,0.0,none,99,0.0,0.0,money,5,0.0,0.0
466,1724648863,__NA__,0.0,0.0,0.0,because doctors aren't always correct,16,0.0,0.0,"because covid isnt real, its just another flu",12,0.0,0.0
467,1724660287,__NA__,0.0,0.0,0.0,"I find that public health scientists have contradicted themselves at times, and heard a few cases. Though all in all I listen to them and respect what they have to say.",13,3.0,0.0,The CDC most likely changed the isolation period because people weren’t following it anyways and should be able to return to work quicker.,9,5.0,0.0
468,1724661431,__NA__,0.0,0.0,0.0,I would say this because we all know they won’t tell us everything there is to know about the virus,10,0.0,0.0,I think they changed it do to the fact that if you were a mask you shouldn’t be able to spread your germs,98,0.0,0.0
469,1724693649,__NA__,0.0,0.0,0.0,I believe the evidence that is supporting their claims.,4,0.0,0.0,"Probably because when you have the vaccine, there is a smaller chance of spread of the virus.",10,0.0,0.0
470,1724705447,__NA__,0.0,0.0,0.0,i believe anyone who believes in science and understands how to read and comprehend scientific research is reliable,4,0.0,0.0,Because of staffing shortages in hospitals,98,0.0,0.0
471,1724715505,__NA__,0.0,0.0,0.0,They are paid to enforce an agenda,20,0.0,0.0,Because people are becoming awake to their lies and they don't want to look bad,3,14.0,8.0
477,1724752405,__NA__,0.0,0.0,0.0,They have more knowledge.,2,0.0,0.0,Why change the amount of time. It's the same virus as in the beginning.,97,0.0,0.0
481,1724793843,__NA__,0.0,0.0,0.0,0,99,0.0,0.0,Because to many was useing it as a get a week off work.,5,0.0,0.0
473,1724863497,Haven't had time,7.0,0.0,0.0,I'm not a scientist or doctor,98,0.0,0.0,People didn't listen,9,0.0,0.0
476,1724865783,__NA__,0.0,0.0,0.0,To much going back and forth about the truth of the situation,13,0.0,0.0,The cdc has changed its position on Covid as frequently as I change my underwear,98,0.0,0.0
478,1724904625,Just haven't had the time. I work two third shift jobs.,7.0,0.0,0.0,They are educated experts in their field and peer reviewed.,2,0.0,0.0,Public pressure,8,0.0,0.0
474,1724949655,"majority of the people i know who have gotten the booster have died from it, so yes that scares me. Also i believe we don't need to booster like they claim we do.",9.0,0.0,0.0,Sometimes i think they let people worry to much and it gets out of hand. real information doesn't hurt its when the lies get mixed in.,14,0.0,0.0,so people can go back to work.,5,0.0,0.0
475,1724966959,__NA__,0.0,0.0,0.0,i do not know,99,0.0,0.0,i do not know,97,0.0,0.0
479,1724995737,__NA__,0.0,0.0,0.0,Change tei minds too often,13,0.0,0.0,unknown,97,0.0,0.0
480,1725017079,I have the modern vaccine,99.0,0.0,0.0,Because I needed,99,0.0,0.0,I don’t know,97,0.0,0.0
483,1725029633,__NA__,0.0,0.0,0.0,"I fully believe and support in science, but you can't always trust something 100%. Some things can be misconstrued/misinterpreted or explained incorrectly. I supplement information from public health scientists with my own research.",4,0.0,0.0,"There may be some evidence that the full 10 days is not necessary for the majority of cases. As an educator, I see students and coworkers being taken out of class all day every day because they were close contacts to someone who had previously tested positive, and then they themselves will test positive after the infected person comes back after the 5 quarantine days.",1,0.0,0.0
484,1725029895,Got sick with COVID around mid December and now believe I may have natural immunity,10.0,0.0,0.0,It’s hard to know who to trust anymore,98,0.0,0.0,To keep the economy from collapsing from people (essential workers) missing work,5,0.0,0.0
482,1725030589,__NA__,0.0,0.0,0.0,Take it with a grain of salt,99,0.0,0.0,They don't know what to do anymore and they need people working,5,0.0,0.0
488,1725034659,__NA__,0.0,0.0,0.0,Of all people they should know the best,2,0.0,0.0,NOt sure,97,0.0,0.0
485,1725040479,__NA__,0.0,0.0,0.0,0,99,0.0,0.0,"They found that immediate transmission is shortened to a period of time when the person is actually sick. After a 5 day period with no fever, a person is suspected to be less contagious.",1,0.0,0.0
486,1725044091,__NA__,0.0,0.0,0.0,"Exaggerated, doomsday scenarios, not focused on stats, no worry about other negative effects.",11,0.0,0.0,Economy,5,0.0,0.0
487,1725044301,__NA__,0.0,0.0,0.0,"This is their specialty, they go to school for it, do research. They certainly know more than I do regarding diseases and the spread/control",2,0.0,0.0,Because people were not following the ten day rule,9,0.0,0.0
490,1725068161,__NA__,0.0,0.0,0.0,No body seems to know definitely about anything .,11,0.0,0.0,They're still figuring out everything.. and the 10 days was being what they thought at the time to be safest,1,0.0,0.0
491,1725070597,__NA__,0.0,0.0,0.0,They're well-known and broadcasted for a reason (they probably know what they're talking about).,2,0.0,0.0,I think it should be changed back to 10 days.,99,0.0,0.0
489,1725072357,__NA__,0.0,0.0,0.0,Because they have the knowledge and training behind them,2,0.0,0.0,Pressure from outside groups,98,0.0,0.0
492,1725080641,__NA__,0.0,0.0,0.0,idk,99,0.0,0.0,To get people working,5,0.0,0.0
493,1725080751,__NA__,0.0,0.0,0.0,I’m not good at science so I should trust those who actually are,2,0.0,0.0,Since most are vaccinated now the exposure risk isn’t as great,10,0.0,0.0
494,1725081457,__NA__,0.0,0.0,0.0,I don’t trust the information we are being told,10,0.0,0.0,To get people back to work faster,5,0.0,0.0
496,1725082495,__NA__,0.0,0.0,0.0,to many different opinions,13,0.0,0.0,"I don""t know",97,0.0,0.0
495,1725088157,__NA__,0.0,0.0,0.0,The message seems to keep changing and has been very inconsistent. I think they are doing the best they can but their messaging has been troublesome.,13,0.0,0.0,Perhaps due to research that determined the period that the infection was transmittable.,1,0.0,0.0
497,1725092119,Because many people I know have gotten very sick from the booster,15.0,0.0,0.0,I trust them,3,0.0,0.0,Not sure,97,0.0,0.0
498,1725092461,__NA__,0.0,0.0,0.0,They are actual experts,2,0.0,0.0,Because that’s what the data shows,1,0.0,0.0
499,1725092535,__NA__,0.0,0.0,0.0,"they are the experts, why wouldn't there info be reliable",2,0.0,0.0,because if you wear a mask then less likely to spread the virus,98,0.0,0.0
